latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
22.93312,69.69794,324.97,0.38,0.36,2026-08-24,2112,N,nominal,2.0NRT,295.2,2.55,N
22.34504,69.87063,323.05,0.38,0.36,2026-08-24,2112,N,nominal,2.0NRT,292.53,1.78,N
22.34174,69.87002,322.14,0.38,0.36,2026-08-24,2112,N,nominal,2.0NRT,292.79,1.78,N
39.18915,83.53337,300.86,0.52,0.5,2026-08-24,2106,N,nominal,2.0NRT,287.78,0.8,N
22.3408,69.85459,305.94,0.38,0.36,2026-08-24,2112,N,nominal,2.0NRT,294.23,1.87,N
23.19095,55.45263,310.71,0.72,0.75,2026-08-24,2112,N,nominal,2.0NRT,296.2,1.28,N
23.19049,55.45996,306.85,0.72,0.75,2026-08-24,2112,N,nominal,2.0NRT,296.19,1.28,N
21.11144,72.63482,311.12,0.46,0.39,2026-08-24,2112,N,nominal,2.0NRT,293.41,2.9,N
21.1091,72.64789,309.92,0.46,0.39,2026-08-24,2112,N,nominal,2.0NRT,293.66,3.01,N
21.10552,72.64716,337.64,0.46,0.39,2026-08-24,2112,N,nominal,2.0NRT,295.31,10.73,N
21.10352,72.63773,330.98,0.46,0.39,2026-08-24,2112,N,nominal,2.0NRT,293.45,9.49,N
23.1949,55.4566,310.34,0.72,0.75,2026-08-24,2112,N,nominal,2.0NRT,296.49,3.16,N
22.64068,59.4273,311.96,0.4,0.6,2026-08-24,2112,N,nominal,2.0NRT,298.3,0.75,N
22.92774,55.80049,323.14,0.68,0.74,2026-08-24,2112,N,nominal,2.0NRT,293.93,10.16,N
22.87755,55.61292,305.84,0.7,0.75,2026-08-24,2112,N,nominal,2.0NRT,292.21,1.64,N
22.87271,55.61517,304.73,0.7,0.75,2026-08-24,2112,N,nominal,2.0NRT,292.28,4.24,N
20.91151,71.45895,310.03,0.41,0.37,2026-08-24,2112,N,nominal,2.0NRT,293.19,1.54,N
20.35698,72.95097,301.25,0.48,0.4,2026-08-24,2112,N,nominal,2.0NRT,288.29,2,N
22.40915,56.99181,309.85,0.57,0.69,2026-08-24,2112,N,nominal,2.0NRT,296.02,1.57,N
18.68722,73.03297,305.75,0.51,0.41,2026-08-24,2114,N,nominal,2.0NRT,288.63,1.88,N
18.68346,73.03221,304.3,0.51,0.41,2026-08-24,2114,N,nominal,2.0NRT,288.14,1.88,N
